Filename,PassSequence,OverOz,error
after_cleaned_train/chstone-v0_dfsin_add128.ll,"['--constprop', '--cross-dso-cfi', '--forceattrs', '--instcombine', '--loop-fusion', '--hotcoldsplit', '--reg2mem', '--gvn', '--sroa', '--globaldce', '--libcalls-shrinkwrap', '--instsimplify', '--rpo-functionattrs', '--slsr', '--die']",77.78,
after_cleaned_train/chstone-v0_dfsin_countLeadingZeros32.ll,"['--callsite-splitting', '--mergereturn', '--newgvn', '--gvn-hoist', '--sroa', '--libcalls-shrinkwrap', '--slsr', '--simplifycfg']",60.53,
after_cleaned_train/chstone-v0_dfsin_float64_add.ll,"['--newgvn', '--loop-rotate', '--div-rem-pairs', '--coro-cleanup', '--mem2reg', '--libcalls-shrinkwrap', '--early-cse-memssa', '--loop-sink', '--consthoist', '--ee-instrument', '--gvn']",76.19,
after_cleaned_train/chstone-v0_dfsin_int32_to_float64.ll,"['--cross-dso-cfi', '--early-cse', '--instnamer', '--rpo-functionattrs', '--sroa', '--strip-nondebug', '--bdce', '--simplifycfg']",75.0,
after_cleaned_train/chstone-v0_dfsin_shift64RightJamming.ll,"['--mem2reg', '--instcombine', '--lcssa', '--always-inline', '--simplifycfg']",57.45,
after_cleaned_train/chstone-v0_gsm_gsm_mult_r.ll,"['--callsite-splitting', '--loop-instsimplify', '--lower-guard-intrinsic', '--lowerswitch', '--instcombine', '--dse', '--jump-threading', '--rewrite-statepoints-for-gc', '--sroa', '--gvn', '--dce', '--div-rem-pairs', '--coro-cleanup', '--globaldce', '--lower-matrix-intrinsics']",67.5,
after_cleaned_train/chstone-v0_jpeg_BoundIDctMatrix.ll,"['--ee-instrument', '--loop-rotate', '--always-inline', '--deadargelim', '--argpromotion', '--slp-vectorizer', '--sroa', '--loop-sink', '--gvn', '--loop-simplifycfg', '--adce', '--inline', '--simple-loop-unswitch', '--simplifycfg']",60.0,
after_cleaned_train/chstone-v0_jpeg_decode_block.ll,"['--elim-avail-extern', '--instcombine', '--dse', '--loop-versioning', '--early-cse-memssa', '--loweratomic', '--attributor', '--hotcoldsplit', '--loop-unswitch', '--gvn-hoist', '--coro-cleanup', '--sancov', '--canonicalize-aliases', '--sroa', '--strip-dead-prototypes']",59.52,
after_cleaned_train/chstone-v0_jpeg_pgetc.ll,"['--gvn', '--deadargelim', '--callsite-splitting', '--loop-reroll', '--div-rem-pairs', '--strip-debug-declare', '--load-store-vectorizer', '--loop-unswitch', '--mem2reg', '--loop-interchange', '--strip-nondebug', '--adce', '--jump-threading', '--inject-tli-mappings', '--correlated-propagation']",51.43,
after_cleaned_train/chstone-v0_motion_read.ll,"['--simple-loop-unswitch', '--lowerinvoke', '--newgvn', '--early-cse', '--strip', '--deadargelim', '--mem2reg', '--lowerswitch', '-loop-reduce', '--constprop', '--slp-vectorizer', '--globalsplit', '--licm', '--inject-tli-mappings', '--sancov']",71.74,
after_cleaned_train/chstone-v0_sha_local_memset.ll,"['--mem2reg', '--coro-elide', '--indvars', '--instsimplify', '--simplifycfg', '--loop-distribute']",69.81,
after_cleaned_train/chstone-v0_sha_main.ll,"['--guard-widening', '--consthoist', '--inferattrs', '--cross-dso-cfi', '--loop-predication', '--instcombine', '--forceattrs', '--loop-rotate', '--early-cse-memssa', '--gvn', '--sroa', '--loop-load-elim', '--redundant-dbg-inst-elim']",58.54,
after_cleaned_train/chstone-v0_sha_sha_stream.ll,"['--coro-early', '--sccp', '--mem2reg', '--instcombine', '--memcpyopt', '--dse', '--loop-unroll-and-jam', '--loop-rotate', '--sink', '--early-cse-memssa', '--loop-vectorize', '--scalarizer', '--loop-idiom', '--gvn', '--globalsplit']",68.29,
after_cleaned_train/chstone-v0_sha_sha_update.ll,"['--guard-widening', '--aggressive-instcombine', '--lower-constant-intrinsics', '--sink', '--correlated-propagation', '--gvn', '--sroa', '--simplifycfg']",39.53,
after_cleaned_train/complex_dummy_1.ll,"['--float2int', '--inline', '--dse', '--lowerswitch', '--pgo-memop-opt', '--simple-loop-unswitch', '--lower-guard-intrinsic', '--slsr']",28.57,
after_cleaned_train/error_file_6.ll,"['--rewrite-statepoints-for-gc', '--early-cse', '--instsimplify', '-loop-reduce', '--break-crit-edges', '--loop-unroll', '--redundant-dbg-inst-elim', '--loop-unswitch', '--loop-reroll', '--prune-eh', '--ee-instrument', '--dce', '--simple-loop-unswitch', '--dse', '--loop-instsimplify']",0.0,
after_cleaned_train/github-v0_10043_generateFacets2D.ll,"['--inferattrs', '--loop-unswitch', '--simple-loop-unswitch', '--scalarizer', '--functionattrs', '--canonicalize-aliases', '--libcalls-shrinkwrap', '--separate-const-offset-from-gep', '--nary-reassociate', '--instcombine', '--lowerinvoke', '--newgvn']",0.0,
after_cleaned_train/github-v0_10081_read_out_of_bounds.ll,"['--lower-guard-intrinsic', '--forceattrs', '--nary-reassociate', '--licm', '--jump-threading', '--gvn-hoist', '--loop-vectorize', '--partial-inliner', '--gvn', '--loop-interchange']",29.63,
after_cleaned_train/github-v0_10119_reduce.ll,"['--simplifycfg', '--slp-vectorizer', '--mergeicmps', '--reassociate', '--licm', '--lower-constant-intrinsics', '--partially-inline-libcalls', '--load-store-vectorizer', '--constprop', '--rewrite-statepoints-for-gc', '--div-rem-pairs', '--partial-inliner', '--inject-tli-mappings']",0.0,
after_cleaned_train/github-v0_10192_grid3d_get_cell_key.ll,"['--inject-tli-mappings', '--mergereturn', '--constprop', '--insert-gcov-profiling', '--loop-idiom', '--reassociate', '--instsimplify', '--memcpyopt']",0.0,
after_cleaned_train/github-v0_10192_grid3d_sort_particles_into_cells.ll,"['--gvn', '--slp-vectorizer', '--constprop', '--mergeicmps', '--lowerswitch', '--inline', '--instsimplify', '--flattencfg', '--attributor', '--coro-elide', '--loop-predication', '--loop-sink', '--coro-split']",0.0,
after_cleaned_train/github-v0_10192_grid3d_sort_scalars_into_cells.ll,"['--constmerge', '--lowerswitch', '--newgvn', '--mldst-motion', '--coro-elide', '--tailcallelim', '--loop-reroll', '--alignment-from-assumptions', '--bdce', '--lower-guard-intrinsic', '--strip-dead-prototypes', '--name-anon-globals', '--prune-eh', '--loop-predication']",0.0,
after_cleaned_train/github-v0_10195_matrix3x3_det.ll,"['--loop-reroll', '--loop-idiom', '--dce', '--redundant-dbg-inst-elim', '--newgvn', '--correlated-propagation', '--instsimplify', '--die', '--argpromotion', '--gvn-hoist', '--infer-address-spaces', '--dse']",0.0,
after_cleaned_train/github-v0_10200_graying.ll,"['--loop-instsimplify', '--mergereturn', '--early-cse', '--dse', '--nary-reassociate', '--jump-threading', '--indvars', '--early-cse-memssa', '--argpromotion', '--loweratomic', '--coro-cleanup', '--globaldce', '--libcalls-shrinkwrap', '--loop-guard-widening', '--simplifycfg']",15.0,
after_cleaned_train/github-v0_10236_rhlr_logpdf.ll,"['--rpo-functionattrs', '--bdce', '--loop-instsimplify', '--jump-threading', '--constmerge', '--mergereturn', '--constprop', '--loop-versioning', '--libcalls-shrinkwrap', '--die', '--simplifycfg', '--sroa']",2.0,
after_cleaned_train/github-v0_10236_rhlr_mcmc_logpdf.ll,"['--newgvn', '--partial-inliner', '--flattencfg', '--adce', '--coro-cleanup', '--insert-gcov-profiling', '--speculative-execution', '--ipsccp', '--globaldce', '--ipconstprop', '--simplifycfg', '--loweratomic', '--dse']",2.0,
after_cleaned_train/github-v0_10243_matrix_add.ll,"['--lcssa', '--elim-avail-extern', '--mergeicmps', '--reg2mem', '--argpromotion', '--adce', '--inferattrs', '--loop-unswitch', '--aggressive-instcombine']",0.0,
after_cleaned_train/github-v0_10243_matrix_elementwise_multiply.ll,"['--slp-vectorizer', '--mldst-motion', '--coro-elide', '--loop-fusion', '--correlated-propagation', '--float2int', '--dse', '--inject-tli-mappings', '--strip-nondebug', '--strip-dead-prototypes', '--loop-unswitch']",0.0,
after_cleaned_train/github-v0_10243_matrix_log.ll,"['--loop-deletion', '--loop-idiom', '--instnamer', '--loop-instsimplify', '--libcalls-shrinkwrap', '--post-inline-ee-instrument', '--globalsplit', '--loop-reroll', '--loop-guard-widening', '--hotcoldsplit']",0.0,
after_cleaned_train/github-v0_10243_matrix_scalar_multiply.ll,"['--rewrite-statepoints-for-gc', '--loop-versioning-licm', '--coro-elide', '--inferattrs', '--nary-reassociate', '--pgo-memop-opt']",0.0,
after_cleaned_train/github-v0_10243_matrix_subtract.ll,"['--newgvn', '--loop-interchange', '--lower-guard-intrinsic', '--loop-reroll', '--ipconstprop', '--loop-unroll-and-jam', '--inferattrs']",0.0,
after_cleaned_train/github-v0_10243_matrix_transpose.ll,"['--loop-simplifycfg', '--deadargelim', '--insert-gcov-profiling', '--adce', '--alignment-from-assumptions', '--libcalls-shrinkwrap', '--ipsccp', '--gvn', '--inject-tli-mappings', '--irce', '--post-inline-ee-instrument']",0.0,
after_cleaned_train/github-v0_10243_scalar_add.ll,"['--lower-expect', '--rewrite-statepoints-for-gc', '--simplifycfg', '--instsimplify', '--flattencfg', '--scalarizer', '--jump-threading', '-loop-reduce']",0.0,
after_cleaned_train/github-v0_10249_CacheG2.ll,"['--infer-address-spaces', '--mldst-motion', '--die', '--loop-interchange', '-loop-reduce', '--early-cse-memssa', '--newgvn', '--loop-versioning-licm', '--deadargelim', '--slp-vectorizer']",6.25,
after_cleaned_train/github-v0_10253_loadFourBlocks.ll,"['--sccp', '--nary-reassociate', '--scalarizer', '--functionattrs', '--gvn', '--reassociate', '--bdce', '--lower-matrix-intrinsics', '--slsr']",11.11,
after_cleaned_train/github-v0_10308_makeTangent.ll,"['--loop-interchange', '--loop-deletion', '--callsite-splitting', '--loop-versioning', '--constmerge', '--loop-instsimplify', '--mergefunc', '--coro-split', '--elim-avail-extern', '--globalsplit', '--loop-simplify']",0.0,
after_cleaned_train/github-v0_1032_add_data.ll,"['--lower-guard-intrinsic', '--mem2reg', '--instcombine', '--loop-unroll-and-jam', '--globalopt', '--newgvn', '--sink', '--jump-threading', '--loop-versioning-licm', '--early-cse-memssa', '-loop-reduce', '--instnamer', '--attributor', '--irce']",70.59,
after_cleaned_train/github-v0_1033_error.ll,"['--ipsccp', '--loop-simplify', '--early-cse', '--inferattrs', '--mem2reg', '--coro-split', '--constmerge', '--float2int', '--partial-inliner']",30.43,
after_cleaned_train/github-v0_1033_lput.ll,"['--mem2reg', '--instcombine', '--load-store-vectorizer', '--newgvn', '--globalopt', '--loop-fusion', '--reassociate', '--div-rem-pairs', '--loop-data-prefetch', '--add-discriminators', '--early-cse-memssa']",30.3,
after_cleaned_train/github-v0_10352_entry.ll,"['--slp-vectorizer', '--ipconstprop', '--loop-deletion', '--libcalls-shrinkwrap', '--rpo-functionattrs', '--scalarizer']",0.0,
after_cleaned_train/github-v0_103_cblas_dsdot.ll,"['--lowerswitch', '--mergereturn', '--mem2reg', '--speculative-execution', '--newgvn', '--hotcoldsplit', '--partial-inliner', '--globaldce', '--simplifycfg']",60.0,
after_cleaned_train/github-v0_10427_entry.ll,"['--attributor', '--strip', '--loop-versioning-licm', '--loop-simplifycfg', '--inject-tli-mappings', '--strip-dead-prototypes', '--barrier', '--name-anon-globals', '--lower-guard-intrinsic', '--lower-expect', '--instnamer']",0.0,
after_cleaned_train/github-v0_10503_convert_heads.ll,"['--globalsplit', '--loop-guard-widening', '--lower-guard-intrinsic', '--loop-simplifycfg', '--loop-simplify', '--nary-reassociate', '--loop-data-prefetch', '--inject-tli-mappings', '--loop-unroll-and-jam', '--flattencfg', '--loop-predication', '--called-value-propagation', '--lower-matrix-intrinsics', '--post-inline-ee-instrument']",0.0,
after_cleaned_train/github-v0_10503_create_heads.ll,"['--licm', '--cross-dso-cfi', '--partially-inline-libcalls', '--instnamer', '--scalarizer', '--globalsplit']",0.0,
after_cleaned_train/github-v0_10503_lazy_segmented_scan.ll,"['--consthoist', '--loop-fusion', '--early-cse', '--lower-guard-intrinsic', '--cross-dso-cfi', '--simplifycfg']",2.63,
after_cleaned_train/github-v0_10505_exclusivePrescan128.ll,"['--mergefunc', '--constmerge', '--div-rem-pairs', '--coro-cleanup', '--memcpyopt']",0.0,
after_cleaned_train/github-v0_10536_filter.ll,"['--sink', '--loop-load-elim', '--sccp', '--load-store-vectorizer', '--consthoist', '--strip', '--loop-data-prefetch']",0.0,
after_cleaned_train/github-v0_10540_makeOpenGLColor.ll,"['--hotcoldsplit', '--loop-unroll-and-jam', '--loop-simplify', '--lcssa', '--lower-expect', '--mergereturn', '--partially-inline-libcalls', '--aggressive-instcombine', '--sancov', '--loop-guard-widening', '--loop-unroll', '--callsite-splitting']",0.0,
after_cleaned_train/github-v0_10545_m02000_mxx.ll,"['--gvn-hoist', '--early-cse', '--sink', '--irce', '--loop-unroll', '--called-value-propagation', '--lower-expect', '--memcpyopt', '--dce']",0.0,
after_cleaned_train/github-v0_10545_m02000_sxx.ll,"['--early-cse', '--div-rem-pairs', '--loop-deletion', '--reg2mem', '--loop-predication', '--sccp', '--callsite-splitting', '-loop-reduce', '--inline']",0.0,
after_cleaned_train/github-v0_10561_test_cross.ll,"['--coro-elide', '--lower-widenable-condition', '--rewrite-statepoints-for-gc', '--memcpyopt', '--loop-simplify', '--adce', '--loop-reroll', '--float2int', '--inferattrs', '--loweratomic', '--globalsplit', '--instsimplify', '--lcssa', '--forceattrs', '--partial-inliner']",0.0,
after_cleaned_train/github-v0_10563_yadif_filter.ll,"['--loop-unroll-and-jam', '--loop-simplifycfg', '--loop-predication', '--lower-expect', '--loop-unswitch', '--scalarizer', '--loop-load-elim', '--loop-sink', '--gvn-hoist', '--prune-eh', '--infer-address-spaces', '--sancov', '--loop-data-prefetch', '--redundant-dbg-inst-elim', '--partially-inline-libcalls']",0.0,
after_cleaned_train/github-v0_1057_mbfl_filt_conv_cp1252_wchar.ll,"['--ee-instrument', '--mem2reg', '--float2int', '--always-inline', '--deadargelim', '--correlated-propagation', '--loop-idiom', '--rpo-functionattrs', '--simplifycfg', '--add-discriminators']",54.76,
after_cleaned_train/github-v0_105_cblas_dcopy.ll,"['--elim-avail-extern', '--sccp', '--mem2reg', '--speculative-execution', '--loweratomic', '--gvn', '--simplifycfg']",61.19,
after_cleaned_train/github-v0_1066_cleanup_ps_args.ll,"['--guard-widening', '--loop-instsimplify', '--forceattrs', '--instcombine', '--constmerge', '--early-cse-memssa', '--loop-reroll', '--loop-versioning-licm', '--slp-vectorizer', '--rpo-functionattrs', '--gvn', '--sroa', '--bdce', '--die']",42.62,
after_cleaned_train/github-v0_1066_set_ps_title.ll,"['--loop-unroll', '--inferattrs', '--sccp', '--loop-predication', '--instcombine', '--lower-constant-intrinsics', '--memcpyopt', '--lowerinvoke', '--early-cse-memssa', '--loop-deletion', '--hotcoldsplit', '--jump-threading', '--correlated-propagation', '--strip-dead-prototypes', '--sroa']",45.0,
after_cleaned_train/github-v0_10897_objectdestroy.ll,"['--loop-versioning', '--always-inline', '--sccp', '--dse', '--gvn-hoist', '--aggressive-instcombine', '--mldst-motion', '--sroa']",47.06,
after_cleaned_train/github-v0_1092_gbuf_add_bytes.ll,"['--mem2reg', '--separate-const-offset-from-gep', '--sccp', '--die', '--lower-constant-intrinsics', '--early-cse-memssa', '--lowerswitch', '--loop-versioning', '--loop-rotate', '--name-anon-globals', '--mergeicmps', '--sink', '--instsimplify']",58.82,
after_cleaned_train/github-v0_1092_gbuf_add_str.ll,"['--callsite-splitting', '--loop-instsimplify', '--elim-avail-extern', '--mergereturn', '--mem2reg', '--loop-rotate', '--early-cse-memssa', '--irce', '--redundant-dbg-inst-elim', '--sroa', '--pgo-memop-opt', '--simplifycfg']",50.0,
after_cleaned_train/github-v0_1092_gbuf_grow.ll,"['--tailcallelim', '--loop-simplify', '--mem2reg', '--instcombine', '--loop-predication', '--strip', '--lowerinvoke', '--newgvn', '--lower-widenable-condition', '--partial-inliner', '--libcalls-shrinkwrap', '--post-inline-ee-instrument', '--slsr']",58.62,
after_cleaned_train/github-v0_1092_gbuf_set.ll,"['--callsite-splitting', '--forceattrs', '--mem2reg', '--lower-constant-intrinsics', '--loop-versioning', '--licm', '--loop-vectorize', '--hotcoldsplit', '--coro-cleanup', '--loop-sink', '--gvn', '--sancov']",57.14,
after_cleaned_train/github-v0_1096_mrb_gc_arena_restore.ll,"['--elim-avail-extern', '--sink', '--alignment-from-assumptions', '--loop-unswitch', '--coro-elide', '--load-store-vectorizer', '--early-cse-memssa', '--instnamer', '--loop-guard-widening', '--die', '--instcombine', '--bdce', '--memcpyopt', '--loop-instsimplify', '--hotcoldsplit']",70.0,
after_cleaned_train/github-v0_1096_mrb_gc_arena_save.ll,"['--div-rem-pairs', '--partially-inline-libcalls', '--loop-sink', '--infer-address-spaces', '--name-anon-globals', '--instsimplify', '--deadargelim', '--jump-threading', '--instcombine']",57.14,
after_cleaned_train/github-v0_10987_main.ll,"['--ipsccp', '--mem2reg', '--instcombine', '--separate-const-offset-from-gep', '--early-cse-memssa', '--hotcoldsplit', '--dce', '--flattencfg', '--inject-tli-mappings', '--simplifycfg', '--sccp']",48.39,
after_cleaned_train/github-v0_10995_main.ll,"['--ipsccp', '--guard-widening', '--mem2reg', '--lower-expect', '--instcombine', '--loop-versioning', '--early-cse-memssa', '--adce', '--correlated-propagation', '--alignment-from-assumptions', '--reassociate', '--redundant-dbg-inst-elim', '--globaldce', '--sancov', '--simplifycfg']",49.06,
after_cleaned_train/github-v0_11005_main.ll,"['--instcombine', '--lower-constant-intrinsics', '--constmerge', '--speculative-execution', '--attributor', '--rewrite-statepoints-for-gc', '--loop-fusion', '--loweratomic', '--gvn', '--sroa', '--dce', '--div-rem-pairs', '--post-inline-ee-instrument', '--inline', '--ipconstprop']",44.74,
after_cleaned_train/github-v0_11021_HASH_GetDigest.ll,"['--loop-unroll', '--mem2reg', '--instcombine', '--strip', '--nary-reassociate', '--early-cse-memssa', '--coro-cleanup', '--libcalls-shrinkwrap', '--barrier', '--loop-interchange']",42.86,
after_cleaned_train/github-v0_11021_HASH_GetFlagStatus.ll,"['--ee-instrument', '--instcombine', '--speculative-execution', '--sink', '--sroa', '--loop-guard-widening', '--simplifycfg']",71.15,
after_cleaned_train/github-v0_11021_HASH_ITConfig.ll,"['--infer-address-spaces', '--inferattrs', '--aggressive-instcombine', '--mem2reg', '--instcombine', '--early-cse-memssa', '--loop-deletion', '--partial-inliner', '--sroa', '--add-discriminators', '--div-rem-pairs', '--barrier', '--inline', '--flattencfg', '--simplifycfg']",47.73,
